iter	Passed	Remaining
0	130	12936
1	132	6491
2	134	4341
3	135	3262
4	137	2615
5	139	2183
6	141	1874
7	142	1641
8	144	1460
9	146	1314
10	147	1194
11	149	1094
12	150	1009
13	152	937
14	154	873
15	155	817
16	157	768
17	159	724
18	160	685
19	162	650
20	164	617
21	165	588
22	167	561
23	169	536
24	171	513
25	172	491
26	174	471
27	176	452
28	177	435
29	179	419
30	181	403
31	182	388
32	184	375
33	186	361
34	187	349
35	189	336
36	191	325
37	192	314
38	194	304
39	196	294
40	197	284
41	199	275
42	200	266
43	202	257
44	204	249
45	205	241
46	207	234
47	209	226
48	210	219
49	212	212
50	214	206
51	216	199
52	217	193
53	219	186
54	221	180
55	222	174
56	224	169
57	226	163
58	227	158
59	229	153
60	231	148
61	233	142
62	234	138
63	236	133
64	238	128
65	239	123
66	241	118
67	243	114
68	245	110
69	246	105
70	248	101
71	250	97
72	252	93
73	253	89
74	255	85
75	257	81
76	259	77
77	260	73
78	262	69
79	264	66
80	265	62
81	267	58
82	269	55
83	271	51
84	272	48
85	274	44
86	276	41
87	278	37
88	279	34
89	281	31
90	283	28
91	284	24
92	286	21
93	288	18
94	290	15
95	292	12
96	293	9
97	295	6
98	297	3
99	299	0
